Year,Month,Day,Vancouver,Calgary,Saskatoon,Winnipeg,Ottawa,Quebec City,Charlotte
2021,11,21,6.8,-1.3,-9.9,-6.35,3.5,0.45,1.8
2021,11,22,5.6,7.6,-1.1,-9.8,1.85,0.25,9.05
2021,11,23,7.4,-1.6,-3,-2,-4.15,-4.5,6.85
2021,11,24,5.5,-3.7,-11.75,-10.5,-1.95,-4.35,3
2021,11,25,6.75,6.65,-5.05,-14.15,0.25,-1.95,5.5
2021,11,26,8.55,3.65,1.65,-4.45,0.55,-0.4,6.4
2021,11,27,9.15,-1.2,-1.5,-1.6,-4.7,-3.85,3.45
2021,11,28,10.35,4.9,-1.9,-5.6,-6,-9.35,-1.55
2021,11,29,10.9,4.55,1.1,-2,-3.85,-8.85,-0.85
2021,11,30,10.35,4.5,-1.65,-4.2,-3.95,-8.55,-0.25
2021,12,1,11,6.3,1.6,2.5,-1.05,-7.65,-1.5
2021,12,2,6.95,-0.95,-1.65,-4.25,2.8,-3.55,2.5
2021,12,3,3.35,-4.7,-7.35,-4.15,-4.55,-5.5,2.65
2021,12,4,3.45,-5.95,-10.15,-9.6,-8.1,-12.7,-6
2021,12,5,2,-12.55,-17.15,-11.55,-7.5,-11.7,-5.55
2021,12,6,2.05,-11.25,-18.5,-20,0.95,-2.7,3.25
2021,12,7,5.25,-7.35,-16.75,-16.45,-6.4,-6.2,5.3
2021,12,8,5.5,-0.55,-4.8,-13.7,-8.9,-14.9,-4.5
2021,12,9,3.7,-6.2,-5.45,-3.85,-8.2,-14.15,-4.9
2021,12,10,3.65,-6,-8.5,-7.85,-5.3,-12.35,-4.75
2021,12,11,5.7,-1.8,-1,-8.65,3.7,0.1,5.9
2021,12,12,3.4,-5.25,-3.3,-0.95,2.75,2.15,7.05
2021,12,13,4.6,-9.8,-6.1,-4.25,5,2.65,3.45
2021,12,14,3.45,-16.4,-5.3,0.7,-0.4,-3.15,-0.65
2021,12,15,5.4,-19,-14.45,-4.3,-2.3,-9,-4.7
2021,12,16,3.85,-17.7,-22.1,-12.75,6.95,-1.2,-0.15
2021,12,17,1.25,-20.4,-20.6,-14.5,3.75,2.85,4.8
2021,12,18,5.25,-9.7,-19.05,-17.75,-4.35,-6.6,-1.15
2021,12,19,2.85,-12.35,-16.6,-10.05,-9.95,-9.7,-2.35
2021,12,20,0.1,-17.45,-15.3,-16.85,-8,-14.5,-6.65
2021,12,21,-0.6,-8.7,-12.95,-17.2,-2.15,-7.7,-3.05
2021,12,22,5.45,-4.05,-10,-12.85,-4.6,-6.4,-3.6
2021,12,23,4.9,-8.65,-9.15,-8.5,-12.5,-15.2,-5.5
2021,12,24,2.05,-21,-17.6,-10.6,-9.65,-17.55,-11.1
2021,12,25,-1.85,-25.7,-26.3,-20.15,-4.45,-12.4,-6.15
2021,12,26,-6.55,-28.95,-25.9,-17.15,-3.9,-7.9,-0.95
2021,12,27,-9.7,-30.8,-27.85,-17.1,-9.95,-9.05,-0.25
2021,12,28,-6.55,-23.45,-28.8,-24,-5.65,-7.65,-1.15
2021,12,29,-6,-24.3,-29.15,-28.55,-3.85,-7.25,-2.2
2021,12,30,-3.1,-19.8,-31.45,-27.05,-2.9,-3.85,-3.3
2021,12,31,-3.95,-23.85,-30.85,-28.85,-3.25,-2.25,-0.7
2022,1,1,-2,-13.1,-30.25,-28.6,-3.2,-0.15,2.7
2022,1,2,3.2,-6.85,-18.25,-25.15,-12.3,-8.9,0.9
2022,1,3,3.85,-20,-20.05,-20.2,-15.4,-21.6,-7.1
2022,1,4,2.65,-26.85,-24.95,-17,-7.2,-19.25,-10.2
2022,1,5,-0.75,-26.8,-32.35,-22.75,-1.8,-7.2,-1.7
2022,1,6,1.5,-26.65,-34.95,-26.1,-5.8,-5.35,2.6
2022,1,7,3.6,-23.3,-27,-23.25,-13.9,-9.3,-2.55
2022,1,8,1.75,-19.55,-28.1,-16.05,-16.8,-15.55,-7.65
2022,1,9,4.25,-11.05,-27.35,-24.85,-5.05,-8.45,-4.15
2022,1,10,5.4,0.95,-17.25,-23.05,-15.7,-15.4,-6.25
2022,1,11,8.7,1.7,-8.45,-12.3,-21.3,-27.7,-17.3
2022,1,12,9.9,4.35,-6.2,-9.75,-11.7,-19.6,-11
2022,1,13,8.1,3.75,-8.75,-12,-8,-10.2,-5.85
2022,1,14,7.55,3.15,-7.25,-18.95,-15,-16.4,-2.5
2022,1,15,5.85,3.8,-3.65,-15,-22.4,-22.45,-10.2
2022,1,16,5.65,0.35,-4.45,-5.15,-20.1,-21.7,-14.3
2022,1,17,5.85,0.05,-8.65,-9.05,-9.8,-11.5,-6.05
2022,1,18,6.25,-14.75,-21.25,-14.55,-15.8,-15.35,-4.25
2022,1,19,7.4,-15.95,-30.55,-23.8,-10.2,-18.6,-8.9
2022,1,20,8.45,-1.5,-15.7,-25.65,-18.5,-17.3,-5.05
2022,1,21,5.65,0.95,-11.25,-13.55,-24.3,-25.25,-14.1
2022,1,22,5,5.55,-15.15,-23,-23.6,-24.8,-15
2022,1,23,2.75,5.7,-5.6,-22.2,-17.5,-18.7,-6.05
2022,1,24,3.15,-0.1,-21.2,-26.25,-21.5,-24,-10.3
2022,1,25,2.05,1.3,-17.65,-26.8,-15.1,-12.45,-5.9
2022,1,26,2.65,0.6,-1.75,-12.85,-21.8,-24.6,-12.05
2022,1,27,2.8,-0.25,-9.3,-15.35,-14.45,-22.6,-13.7
2022,1,28,3.3,5.75,-13.7,-16.75,-15.5,-19.4,-6.65
2022,1,29,4.35,2.5,-9.1,-14.3,-19,-19.5,-3
2022,1,30,6.45,3.9,-9.35,-16.05,-15.25,-14.55,-5
2022,1,31,5.65,-6.5,-12.05,-9.4,-13.2,-19.1,-12.4
2022,2,1,3.75,-19.55,-24.5,-13.45,-10.6,-17.25,-14.15
2022,2,2,1.05,-22.9,-31.6,-25.65,-2.6,-5.45,-9.1
2022,2,3,4,-13.45,-28.65,-26.2,-7.3,-5.5,0.7
2022,2,4,6.3,-4.6,-24.95,-24.95,-12.35,-12.4,-4.9
2022,2,5,6.25,1.5,-18.8,-18.1,-17.1,-16.65,-9.35
2022,2,6,4.65,4.4,-8.95,-19.1,-15.15,-20.7,-15
2022,2,7,8.05,5.2,-2.7,-13.45,-6.2,-7.7,-6
2022,2,8,6,6.1,-0.75,-3.15,-4.3,-3.95,-0.7
2022,2,9,7.05,7.4,-3.5,-7,-5.8,-4.1,-1.4
2022,2,10,5.85,5.5,-5.2,-6.6,0.45,-1.05,-0.8
2022,2,11,6.4,-1.45,-17.25,-19.9,1.8,0,1.8
2022,2,12,5.1,2.3,-13.25,-24.3,-6.35,-7.8,5.25
2022,2,13,5.45,3.7,-7.05,-23.85,-18.45,-18.4,-2.7
2022,2,14,7.2,-2.1,-15.2,-22.15,-18.65,-16.7,-10.25
2022,2,15,6.6,-4.3,-12.9,-17.55,-14.35,-17.65,-14.95
2022,2,16,6.15,-8.1,-23.1,-19.4,-5.95,-11.95,-7.8
2022,2,17,6.9,-0.8,-21.5,-26.65,1.95,0.55,5.55
2022,2,18,6.6,-5.65,-17.1,-19.5,-12.5,-13.7,0.5
2022,2,19,5.9,2,-7.6,-15.25,-10.25,-18,-7.55
2022,2,20,5.9,-12.95,-20.3,-18.05,-7.05,-16.1,-7.5
2022,2,21,4,-21.85,-24.75,-26.7,-1.2,-6,-0.3
2022,2,22,0.6,-22.35,-27.2,-26.65,-4.45,-10.45,-3.9
2022,2,23,-1.55,-18.35,-24.85,-25.95,-7.3,-9.75,0.9
2022,2,24,0.2,-7.95,-20.25,-23.85,-13.3,-17.45,-9.15
2022,2,25,1.55,-6,-18.05,-19.5,-13.8,-18.4,-12.5
2022,2,26,5.3,0.15,-8.05,-11,-14.35,-15.35,-12.7
2022,2,27,7.9,6.25,-9.8,-12.55,-5.75,-9.4,-7.05
2022,2,28,7.65,0.5,-10.65,-12.25,-14.45,-17.8,-9.35
2022,3,1,9.65,2.45,-9.6,-14.95,-12.3,-16.5,-11.55
2022,3,2,8.8,-6.7,-15.15,-17.4,-8.25,-10.5,-3.1
2022,3,3,7.35,-8,-17.2,-19.25,-12.5,-15.6,-9.9
2022,3,4,7,-8.45,-10.15,-12.05,-11.95,-15.75,-13.7
2022,3,5,6.55,-6.25,-15.45,-5.75,-7.05,-9.35,-7.1
2022,3,6,5.3,-3.25,-11.6,-9.8,5.8,-3.5,-3.45
2022,3,7,6.65,-1.5,-6.45,-9.75,0.35,0.1,1.3
2022,3,8,7,-9.4,-15.05,-8.3,-4.15,-6.4,-1.55
2022,3,9,3.3,-13.2,-20.7,-17.75,-2.1,-7.6,-6.05
2022,3,10,3.05,-9.1,-20.7,-15.95,-0.2,-2.25,-0.05
2022,3,11,4.05,-5.55,-24.35,-19.15,-2.05,-6.85,0.25
2022,3,12,6.75,5.25,-6.2,-15.2,-6.55,-4.15,4.3
2022,3,13,8.35,0.55,-10.3,-11.6,-7.3,-10.35,-3.65
2022,3,14,7.2,5.05,-8.65,-8.2,0.5,-6.85,-3.6
2022,3,15,7.7,5.7,-3.15,-2.05,1.3,-4.6,-1.65
2022,3,16,7.3,5.15,-2.05,-0.95,1.1,-0.45,-2.8
2022,3,17,6.45,4.65,-1.4,0.05,6.55,4.35,3.8
2022,3,18,7.85,3.15,0.2,-1,5.85,2.95,4.3
2022,3,19,8,3.55,-0.45,1.7,3.4,0.4,0.05
2022,3,20,5.1,1.8,-0.4,2.15,4.45,1.2,2.75
2022,3,21,6.55,5.35,1,3.45,2.7,0.25,0.2
2022,3,22,9.15,7.15,0.95,1.8,0.65,-2.9,-1.2
2022,3,23,9.25,9.8,4,0.5,0.6,-3.1,-0.35
2022,3,24,6.25,0.85,1.5,-0.35,5.1,-0.2,-0.15
2022,3,25,8.85,1.05,-5.7,-5.65,5.85,0.35,1.1
2022,3,26,9.35,-0.15,-8.25,-13.75,4.5,2.1,4.9
2022,3,27,9.85,5.2,-2.15,-13.8,-5.05,-1.45,3.95
2022,3,28,8.95,0.6,1.4,-5.2,-9.6,-8.3,2.6
2022,3,29,9.85,1.75,-2.15,1.85,-5.05,-7.25,-2.1
2022,3,30,9.2,6.55,0.05,-3.5,-1.7,-4.45,0.05
2022,3,31,8.3,4,1.9,-5.4,6.25,0,1.5
2022,4,1,7.6,2.5,-0.9,2.7,2.55,2,6.65
2022,4,2,8.45,4.3,-1.65,-0.8,2.05,0.3,0.8
2022,4,3,7.5,2.35,3.65,-0.8,3.4,1.25,1.9
2022,4,4,7.85,7.2,8.15,3,5.15,2.65,-0.95
2022,4,5,8.2,5.85,4.1,2.05,7.2,0.3,-2.15
2022,4,6,6.9,3.35,0.5,1,9,0.2,-0.15
2022,4,7,10.3,6.3,4.3,1.35,5.4,2.9,-1.35
2022,4,8,9.65,12.85,8.8,1.1,4.3,1.3,3.4
2022,4,9,7.35,3.95,7.45,3,4.95,2.9,4.9
2022,4,10,6.25,-1.4,-1.05,5.5,4.05,4.95,2.4
2022,4,11,7.4,-4.3,-8,0.9,5.35,3.65,5.05
2022,4,12,5.35,-9.4,-7.8,-2.25,12.15,5.2,6
2022,4,13,5.4,-7.9,-7.45,-0.7,8.35,3.95,3.5
2022,4,14,5.75,-7.75,-4.35,-5.25,10,4.05,4.85
2022,4,15,6,-5.85,-4.5,-7.6,7.8,6.9,4.8
2022,4,16,5.7,-3.6,-2.4,-6.8,4.3,3.65,8.9
2022,4,17,8.2,-1.35,-1.65,-6.55,3.6,3.15,5.85
2022,4,18,8.9,1.1,0.3,-3.75,5.5,4.3,1.35
2022,4,19,8.35,0.5,2,-3,2.85,2.85,3.8
2022,4,20,8.65,-1.6,-1,3.6,4.95,0.35,7.2
2022,4,21,9.35,0.25,-0.75,2.25,7.25,3.8,5.7
2022,4,22,9.1,0.6,0.8,2.35,7.95,5.35,8.65
2022,4,23,9.5,3.95,6.3,2.35,5.75,4.55,1.4
2022,4,24,11.5,6.35,4.05,-1.05,9.45,3.45,1.8
2022,4,25,10.5,8.05,3,-5.45,13.35,8.05,5.15
2022,4,26,8.6,9.1,5.7,-2.7,11.1,10.4,8.55
2022,4,27,7.8,5.9,8.45,3.2,2.9,6.25,6.3
2022,4,28,7.75,3.9,8.95,4.55,4.5,5.5,6.4
2022,4,29,10.5,6.25,8.4,6.35,6.75,4.95,3.65
2022,4,30,10.9,6.4,8.3,4.35,8.2,7.9,1.5
2022,5,1,10.5,9.15,7.25,2.3,10.75,7.05,1.7
2022,5,2,11.7,8.6,10.05,3.5,12.05,9.5,2.6
2022,5,3,10.5,10.55,11.65,4.35,12.3,10.85,4.85
2022,5,4,9.75,13.9,11.55,9.5,13.2,10.55,7.95
2022,5,5,9.35,14.5,18.6,12.6,11.1,6.6,3.55
2022,5,6,9.8,11.5,16.3,14.2,11.5,4.7,4
2022,5,7,9.45,9.3,8.35,18.35,10.2,5.6,0.95
2022,5,8,8.7,5.55,6.5,16.2,11.6,7.65,2.6
2022,5,9,10.35,4.6,7.95,11.5,12.75,11,4.7
2022,5,10,10.85,4.75,8.85,15.05,16.05,12.9,6.8
2022,5,11,10.4,6.6,8.8,13,17.35,16.7,10.15
2022,5,12,8.8,7.75,13.75,13.75,20.55,18.75,13.9
2022,5,13,9.2,6.1,7.4,13.4,20.55,22.45,16.85
2022,5,14,10.25,9.7,9.95,9.5,22.05,16.55,9.1
2022,5,15,12.15,9.45,9.85,9.45,21.2,11.9,10.9
2022,5,16,11.75,13.6,10.45,8.15,17.55,15.7,13.45
2022,5,17,10.85,8.6,12.05,9.55,12.2,8.65,14.95
2022,5,18,11.4,9.2,11.1,10.3,11.85,10.6,8.45
2022,5,19,10.95,4.5,6.4,10.25,8.9,11.9,9.05
2022,5,20,10.3,5.3,4.45,5.25,17.2,11.3,12.45
2022,5,21,12.25,5.4,6,6.3,23.55,20.4,14.3
2022,5,22,14,7.35,9,9.85,15.1,15.6,19.15
2022,5,23,14.35,10.05,12.35,11.95,11.45,8.9,10
2022,5,24,12.9,11.9,14.8,16.1,13.1,10.45,7
2022,5,25,14.25,13.4,14.3,16.35,13.8,12,10.05
2022,5,26,13.35,12.65,14.45,15.95,18.75,12.4,15.15
2022,5,27,13.1,15.3,14.75,16.95,20.05,13.75,12
2022,5,28,12.1,13.55,16.85,19.55,18.3,14.15,17.6
2022,5,29,13.4,11.8,14.55,16.05,18.5,14.65,16.65
2022,5,30,11.9,11.05,11,14.35,21.55,14.5,14.55
2022,5,31,14.25,9.8,10.25,10.4,20.25,11.75,8.25
2022,6,1,15.15,13.5,9.3,13.45,16.55,12.95,7.9
2022,6,2,17.15,11.55,13.45,8.05,16.3,14.75,8.5
2022,6,3,15.5,13.4,12.5,12.3,18.15,13.4,8.85
2022,6,4,16.65,15.15,13.25,11.65,15.25,12.55,9.35
2022,6,5,15.95,11.75,14.5,11.95,15.3,13.6,11.15
2022,6,6,13.45,13.15,14.35,14.1,15.2,15.5,9.55
2022,6,7,14,12.55,15.35,15.15,17.35,15.45,11.25
2022,6,8,16.05,14.15,16.1,16,19.35,16.2,12.65
2022,6,9,13.65,15.25,17.1,17.7,16.85,12.8,16.15
2022,6,10,16.4,16.1,17.65,19.6,17.35,15.55,17.5
2022,6,11,15.8,16.7,15,21.95,18.25,16.25,18.5
2022,6,12,14.7,13,15.4,17.45,18,17.45,18.7
2022,6,13,14.7,12,16.15,20.1,17.45,18.05,16.2
2022,6,14,14.4,10.05,12.05,19,20.1,16.2,12.7
2022,6,15,13.6,12.5,10.7,18.55,19.65,19.55,13.8
2022,6,16,14.45,13.55,14.9,17.7,23.5,20.9,18.5
2022,6,17,14.35,16.1,18.65,18.3,20.4,16.55,15.2
2022,6,18,14.8,16.1,25.45,22.1,12.65,10.35,18.6
2022,6,19,15,15.1,18.6,29.7,15.05,11.7,17.4
2022,6,20,15.35,14.2,17.4,25,16.85,13.65,13.7
2022,6,21,15.55,15,16.8,16.9,16.2,17.1,11.6
2022,6,22,15.8,18.25,20.6,19.6,21.45,18.8,15.25
2022,6,23,14.4,9.8,17.85,25.7,18.75,15.3,17.1
2022,6,24,14.8,10.8,13.2,23.15,20.55,19.7,18.4
2022,6,25,19.15,13.1,15.45,16.15,22.9,20.9,19.8
2022,6,26,20.05,15.25,16.2,16.3,24.25,22.3,20.45
2022,6,27,20.95,16.45,15.2,21.6,19.65,19.85,20.9
2022,6,28,18.65,16.35,14.45,16.75,19.35,16.3,18.3
2022,6,29,16.9,14.25,17.25,18,17.05,17.25,19.35
2022,6,30,16.5,15.2,15.2,17.6,17.9,17.3,18.9
2022,7,1,18.4,16.85,12.75,16.25,23.55,19.85,18.45
2022,7,2,16.85,13.75,14.8,17.6,21.95,19.95,19.75
2022,7,3,15,12,16.2,20.85,19.35,16.35,20.15
2022,7,4,14.95,12.45,17,18.35,20.7,15.4,16.8
2022,7,5,17.45,15.5,13.5,21.35,19.35,17,17.8
2022,7,6,18.45,12.6,17,21.9,19.1,15.95,15.45
2022,7,7,18.45,17.7,17.55,19.05,18.1,15.85,16.5
2022,7,8,18.1,18,24.5,20.65,20.2,18.25,17.35
2022,7,9,17.75,18.45,21.85,23.55,16.8,14.7,15.7
2022,7,10,18.8,17.4,19.5,23.35,20.55,16.05,17
2022,7,11,19,18,18.3,21.5,22.85,20.45,19.3
2022,7,12,19.15,21.6,20.3,20.65,22.85,20.55,20.4
2022,7,13,18.7,18.25,26,21.3,20.4,20.15,20.65
2022,7,14,18.6,18.7,20.5,20.8,19.85,16.8,17.6
2022,7,15,18,20.7,25.3,23.2,19.8,17.9,17.2
2022,7,16,18.2,20.6,27.5,23.65,21.95,19.6,20.3
2022,7,17,16,19.25,21.95,26.4,24.1,21.15,21.3
2022,7,18,17,16.25,22,25.55,21.25,22.5,22.4
2022,7,19,17.75,21.1,22.85,22.5,24.5,21.75,21.3
2022,7,20,18.75,17.2,18.6,21.45,26.75,19.9,20.65
2022,7,21,19.35,19.5,19.1,21.3,24.8,22.65,22.45
2022,7,22,18.05,17.55,17.8,21.15,23.85,22.1,24.2
2022,7,23,17.4,18.15,14.95,19.35,23.9,21.65,24.15
2022,7,24,18.8,19.45,18.25,17.05,21.95,22.9,24.85
2022,7,25,21.25,17.5,17.4,19.05,21.55,20.5,24.75
2022,7,26,23.35,18.85,16.45,19.65,20,18.7,21.8
2022,7,27,24.35,21.15,15.75,16.25,20.6,20.95,20.35
2022,7,28,22.75,22.55,18.25,17.4,22.15,21.05,19.7
2022,7,29,23.55,23.35,24.2,18.7,21.2,19.9,19.85
2022,7,30,23.65,21.15,18.3,22.35,19.25,19.65,21.05
2022,7,31,23.15,21.1,19.7,18.5,20.8,20.85,21.75
2022,8,1,21.25,22.1,20.6,18.6,22.8,21.05,21.65
2022,8,2,19.8,18.3,16.05,21.45,19.45,18.65,21.1
2022,8,3,18.25,20.6,15.4,18.15,18.8,16.8,19.7
2022,8,4,17.5,15.3,22.35,19.55,24.8,22.05,22.75
2022,8,5,17.8,13.3,12.55,23.15,23.6,20.05,22.85
2022,8,6,20,16.45,14.05,15.45,24.5,20.7,22.45
2022,8,7,20.5,21.15,21.75,14.55,25.9,23.1,25.15
2022,8,8,20.25,21.1,21.8,20.5,16.85,15.7,16.7
2022,8,9,20.25,20.1,16.6,19.85,17.8,16.5,16.4
2022,8,10,19.9,21.75,16.85,18,20.7,18.6,18.1
2022,8,11,19.7,23.3,20.8,17.2,20.15,17.95,20.05
2022,8,12,19.45,22.5,20.75,21.9,17.25,15.7,19.85
2022,8,13,19.9,21.95,23.6,21.75,17.3,17.45,19.6
2022,8,14,19.4,19.9,21.95,21.8,18.6,19.35,18.3
2022,8,15,20.6,19.1,19.6,21.5,19.9,18.85,19.4
2022,8,16,20.65,20.7,24.7,21.25,21.75,19.75,19.1
2022,8,17,21.6,19.75,21,23.55,22.35,19.35,18.5
2022,8,18,22.3,21.35,19.55,20.2,21.85,17.05,19.38
2022,8,19,22.35,23.3,19.4,20.65,23.1,20.6,20.25
2022,8,20,20.9,20.75,25.05,19.55,23.05,20.85,22.4
2022,8,21,20.65,20.4,22.5,21,22.15,22.5,23.4
2022,8,22,20.3,19.8,18.8,22.2,21.55,21.75,22.7
2022,8,23,19.9,16.35,18.75,19.75,21.35,21.95,19.95
2022,8,24,21.7,18.6,17.45,17.4,21.8,21.15,20.1
2022,8,25,21.85,17.2,19.95,16.05,20.3,17.75,18.7
2022,8,26,19,19.3,19.8,21.3,17.8,13.75,17.7
2022,8,27,18.25,15.2,22.2,19.55,18.1,14.7,15.6
2022,8,28,17.8,15.8,15.55,22.25,18.2,15.7,17
2022,8,29,19.9,18.05,16.85,18.1,23.05,20.4,20
2022,8,30,21.6,21.35,20.75,19.75,23.3,23.6,22.95
2022,8,31,22.2,22.65,23.6,21.7,18.6,18.3,23.2
2022,9,1,20.8,20,21,24.6,13.85,13.1,20.95
2022,9,2,19.65,20.4,15.05,17.6,16.95,13.9,13.95
2022,9,3,19.1,21.9,24.2,15.55,21.05,18.55,15.3
2022,9,4,18.1,24.35,26.45,18,15.95,16,17.45
2022,9,5,16.25,16.55,20.35,20.15,15.95,14.6,16
2022,9,6,16.8,14,15.85,20,17.65,15.4,14.9
2022,9,7,17.9,18.95,22.75,17.95,19.7,16.85,15.6
2022,9,8,15.35,12.45,11.4,18.2,19.3,17.25,16.5
2022,9,9,16.85,11.45,9.2,14.5,19.3,18.3,17.35
2022,9,10,17.85,14.55,11.3,12.05,20.85,18.45,15.45
2022,9,11,19.4,18.55,19.65,15.85,19.9,20.05,17.25
2022,9,12,18.45,15.4,14.5,19.55,19.35,20.35,17.75
2022,9,13,16.2,14.85,11.9,11.65,18.9,19.05,19.25
2022,9,14,16.9,15.05,10.5,13.45,17.25,14.6,19.7
2022,9,15,16.1,14.95,10.35,14.3,11.8,11,13.75
2022,9,16,14.9,14.65,15.15,12.55,13.4,10.6,11
2022,9,17,13.95,12.2,14.4,14.7,13.3,10.2,13.6
2022,9,18,15.6,10.25,15.2,16.15,16.7,10,9.35
2022,9,19,15.9,8,11.5,16.55,12.15,8.95,9.85
2022,9,20,15.45,7.45,8.35,15.75,13.9,10.9,9.4
2022,9,21,14.85,8.15,7.95,9.95,17.3,11.6,16.8
2022,9,22,15.35,10.45,12.05,8.4,13.2,13.65,15.75
2022,9,23,15.2,12.15,14.15,10.9,9,8.7,14.5
2022,9,24,15.9,15,12.25,13.8,11.45,11.95,10.6
2022,9,25,16.05,12.95,10.25,11.55,13.4,10.75,14.4
2022,9,26,16.85,15.3,15.3,9.55,15,12.3,16.5
2022,9,27,16.7,17.6,15.1,6.5,13.9,12.85,17.2
2022,9,28,16.75,17.9,18.8,9.8,12.5,12.95,15.7
2022,9,29,16.1,15.55,17.65,15.45,9.85,7.7,12.4
2022,9,30,15.4,12.65,15.95,13.75,10.2,8.8,11.4
2022,10,1,15.55,13.1,15.6,10.05,11.9,9.6,13.5
2022,10,2,15.8,13.85,13.85,13.25,8.15,6,9.7
2022,10,3,15.95,14.85,13.15,16.25,8.2,6.65,5.9
2022,10,4,16,14.75,15.75,15.4,9,7.65,11.1
2022,10,5,15.4,11,5.15,10.95,12.95,10.1,13.05
2022,10,6,15.25,9.1,1.95,0.75,15.1,12,12
2022,10,7,15.75,11.65,8.55,3.25,8.95,9,15.5
2022,10,8,15.3,13.1,12.4,10.3,4.5,3.7,9.25
2022,10,9,15,12.55,12.4,7.45,8,3.55,6.6
2022,10,10,14.8,13.7,13.6,11.25,6.1,3.55,6.6
2022,10,11,13,7.6,9.25,14,8.55,5.35,7.85
2022,10,12,12.55,7.9,6.8,5.5,11.8,7.25,10.65
2022,10,13,13,10.2,6.75,1.1,14.6,12.25,13.95
2022,10,14,13.5,12.7,4.15,2.8,10.95,11.5,14.3
2022,10,15,13.45,8.55,0,4.6,10.6,9.45,15.45
2022,10,16,14.3,10.7,0.7,0.05,7.75,8.35,16.8
2022,10,17,14.65,14.2,6.95,-3.15,8.35,9.3,12.55
2022,10,18,12.65,13.7,11.15,-1.8,6.9,10,15.8
2022,10,19,11.1,13.35,10.45,5.45,4.8,7,14.85
2022,10,20,13.45,12.05,8.4,7.2,4.5,5.7,11.15
2022,10,21,10.55,3.55,5.65,10.3,7,6.1,11.4
2022,10,22,9.7,0.45,3.1,6.45,12.25,9.25,12.8
2022,10,23,8.55,-0.55,1.6,9.65,12,10.5,13.65
2022,10,24,9.95,0.3,0.9,8.05,12.95,12.3,14.95
2022,10,25,8.6,-0.35,1.4,2.05,15.8,12.75,16.45
2022,10,26,7.75,2.1,2.15,0.55,17.9,12.65,18
2022,10,27,10.35,7.75,5.7,6.65,5.1,6.6,13.55
2022,10,28,11.3,5.55,3.05,9.5,2.6,2.15,4.65
2022,10,29,10.7,5.1,4.5,9.6,6.2,2.95,6.45
2022,10,30,10.9,8.25,6.85,6.5,7.75,6,10.1
2022,10,31,9.2,4.05,3.65,7.45,8.1,6.2,10.2
2022,11,1,7.05,-0.1,2.45,8,12.55,7.1,12.5
2022,11,2,6.45,-6.4,-0.9,10.8,9.3,5.65,8.5
2022,11,3,4.4,-8.15,-5.4,1.55,8.6,5.15,5.65
2022,11,4,7.7,-0.3,-5.4,-1.6,11.4,7.7,13.6
2022,11,5,6.75,-5.95,-2.65,1.95,18.9,13.3,14.5
2022,11,6,4.15,-12.75,-12.05,1.65,17.5,15.45,17.65
2022,11,7,3.3,-17.35,-15.4,-2.55,9.5,9,12.4
2022,11,8,2.7,-19.3,-15.1,0.85,1.4,2.45,5.3
2022,11,9,2.15,-19.35,-20.95,-2.9,2.9,0.05,3.15
2022,11,10,4.4,-12.4,-22.3,-6.6,12.7,5.05,8.5
2022,11,11,5.3,-7.15,-16.8,-7.2,12.5,6.6,8.5
2022,11,12,3.95,-7.05,-17.1,-8.4,8.8,4.2,11.25
2022,11,13,5.2,-4.7,-10.1,-7.2,1.1,2.15,5.9
2022,11,14,4.9,-2.95,-6.75,-7,-0.6,-1.05,5.85
2022,11,15,4.05,-1.2,-6.4,-6.8,-1.8,-1.8,1.65
2022,11,16,3.55,-3.45,-6.9,-9.65,-0.8,-1.7,5.1
2022,11,17,6.3,-9.95,-13.8,-9.3,-5.5,-4.4,5.3
2022,11,18,2.75,-5.65,-10.65,-11.25,-6.2,-9.2,-1.5
2022,11,19,2.55,-2.5,-10.8,-13.05,-4.5,-10.3,-1.65
2022,11,20,3.6,-1.1,-7.65,-8.15,-7.9,-6.75,2.1
2022,11,21,6.5,1.2,-6.7,-5.45,-3.4,-9.1,-2.5
2022,11,22,8.05,5.65,-3.6,-3.7,-4.3,-5.05,-2
2022,11,23,7.2,2.35,-4.7,-3.65,-0.4,-3.95,-2.55
2022,11,24,8.1,5.15,-3.6,-1.6,0.2,-8.95,-3.75
2022,11,25,7.8,5.45,0.35,-0.55,1.6,-0.4,-0.65
2022,11,26,5.7,0.4,-3.05,1.55,5.5,-4.15,4.6
